SCHLUESSEL;ART;NAME;AMTSBEZEICHNUNG;ANREDE;NAME;STRASSE;PLZ;ORT;TEL;FAX;E-MAIL;WWW
12 0 60 005;Gemeinde;Ahrensfelde;Bürgermeister;Herr;Wilfried Gehrke;Lindenberger Straße 1;16356;Ahrensfelde;030 9369000;030 93690069;info@gemeinde-ahrensfelde.de;https://www.ahrensfelde.de
12 0 66 000 01;Amt;Altdöbern;Amtsdirektor;Herr;Frank Neubert;Marktstraße 1;03229;Altdöbern;035434 60010;035434 60060;info@amt-altdoebern.de;https://www.amt-altdoebern.de
12 0 64 029;Stadt;Altlandsberg;Bürgermeister;Herr;Arno Jaeschke;Berliner Allee 6;15345;Altlandsberg;033438 1560;033438 15688;info@stadt-altlandsberg.de;http://www.altlandsberg.de
12 0 72 002;Gemeinde;Am Mellensee;Bürgermeister;Herr;Frank Broshog;Zossener Str. 21c;15838;Am Mellensee;033703 9590;033703 95969;info@mellensee.de;https://www.gemeinde-am-mellensee.de
12 0 73 008;Stadt;Angermünde;Bürgermeister;Herr;Frederik Bewer;Markt 24;16278;Angermünde;03331 260013;03331 260045;i.hundt@angermuende.de;https://www.angermuende.de
12 0 69 020;Stadt;Bad Belzig;Bürgermeister;Herr;Roland Leisegang;Wiesenburger Straße 6;14806;Bad Belzig;033841 940;033841 94131;info@bad-belzig.de;https://www.bad-belzig.de
12 0 64 044;Stadt;Bad Freienwalde (Oder);Bürgermeister;Herr;Ralf Lehmann;Karl-Marx-Straße 1;16259;Bad Freienwalde (Oder);03344 412121;03344 412153;stadtverwaltung@bad-freienwalde.de;https://www.bad-freienwalde.de
12 0 70 000 01;Amt;Bad Wilsnack/Weisen;Amtsdirektor;Herr;Torsten Jacob;Am Markt 1;19336;Bad Wilsnack;038791 999-101;038791 999-199;amt_bad_wilsnack_weisen@t-online.de;www.amt-badwilsnack-weisen.de
12 0 60 000;Landkreis;Barnim;Landrat;Herr;Daniel Kurth;Paul Wunderlich Haus, Am Markt 1;16225;Eberswalde;03334 214-0;03334 214-1192;kreisverwaltung@kvbarnim.de ;https://www.barnim.de
12 0 64 000 14;Amt;Barnim-Oderbruch;Amtsdirektor;Herr;Karsten Birkholz ;Freienwalder Straße 48;16269;Wriezen;033456 39960;033456 34843;rubin@barnim-oderbruch.de;https://www.barnim-oderbruch.de
12 0 72 014;Stadt;Baruth/Mark;Bürgermeister;Herr;Peter Ilk;Ernst-Thälmann-Platz 4;15837;Baruth/Mark;033704 9720;033704 97299;info@stadt-baruth-mark.de;https://www.stadt-baruth-mark.de
12 0 69 017;Stadt;Beelitz;Bürgermeister;Herr;Bernhard Knuth;Berliner Straße 202;14547;Beelitz;033204 3910;033204 39135;info@beelitz.de;https://www.beelitz.de
12 0 67 036;Stadt;Beeskow;Bürgermeister;Herr;Frank Steffen;Berliner Straße 30;15848;Beeskow;03366 422 12;03366 422 13;rathaus@beeskow.de ;https://www.beeskow.de
12 0 69 000 02;Amt;Beetzsee;Amtsdirektor;Herr;Guido Müller;Chausseestraße 33b;14778;Beetzsee;03381 79990;03381 799940;info@amt-beetzsee.de;http://www.amt-beetzsee.de
12 0 60 020;Stadt;Bernau bei Berlin;Bürgermeister;Herr;André Stahl;Marktplatz 2;16321;Bernau bei Berlin;03338 3650;03338 365105;stadtverwaltung@bernau-bei-berlin.de;https://www.bernau-bei-berlin.de
12 0 61 020;Gemeinde;Bestensee;Bürgermeister;Herr;Klaus-Dieter Quasdorf;Eichhornstraße 4-5;15741;Bestensee;033763 9980;033763 63489;buergerbuero@bestensee.de;https://www.bestensee.de
12 0 60 000 03;Amt;Biesenthal-Barnim;Amtsdirektor;Herr;André Nedlin;Berliner Straße 1;16359;Biesenthal;03337 45990;03337 459940;poststelle@amt-biesenthal-barnim.de;https://www.amt-biesenthal-barnim.de
12 0 65 036;Gemeinde;Birkenwerder;Bürgermeister;Herr;Stephan Zimniok;Hauptstraße 34;16547;Birkenwerder;03303 2900;03303 290200;info@birkenwerder.de;http://www.birkenwerder.de
12 0 72 017;Gemeinde;Blankenfelde-Mahlow;Bürgermeister;Herr;Michael Schwuchow;Karl-Marx-Straße 4;15827;Blankenfelde-Mahlow;03379 3330;03379 333200;verwaltung@blankenfelde-mahlow.de;https://www.blankenfelde-mahlow.de
12 0 73 069;Gemeinde;Boitzenburger Land;Bürgermeister;Herr;Frank Zimmermann;Templiner Straße 17;17268;Boitzenburger Land;039889 61430;039889 61458;info@gemeinde-boitzenburger-land.de;https://www.gemeinde-boitzenburger-land.de
12 0 51 000;kreisfreie Stadt;Brandenburg an der Havel;Oberbürgermeister;Herr;Steffen Scheller;Altstädtischer Markt 10;14770;Brandenburg an der Havel;03381 58-0;03381 58-7074;info@stadt-brandenburg.de;https://www.stadt-brandenburg.de
12 0 63 036;Gemeinde;Brieselang;Bürgermeister;Herr;Ralf Heimann;Am Markt 3;14656;Brieselang;033232 3380;033232 33888;buergermeister@gemeindebrieselang.de;https://www.gemeindebrieselang.de
12 0 67 000 01;Amt;Brieskow-Finkenheerd;Amtsdirektor;Herr;Danny Busse;August-Bebel-Straße 18a;15295;Brieskow-Finkenheerd;033609 88100;033609 88102;kontakt@amt-b-f.de;https://www.amt-b-f.de
12 0 60 000 11;Amt;Britz-Chorin-Oderberg;Amtsdirektor;Herr;Jörg Matthes;Eisenwerkstraße 11;16230;Britz;03334 45760;03334 457650;post@amt-bco.de;https://britz-chorin-oderberg.de
12 0 69 000 04;Amt;Brück;Amtsdirektor;Herr;Marko Köhler;Ernst-Thälmann-Straße 59;14822;Brück;033844 620;033844 62119;info@amt-brueck.de;https://www.amt-brueck.de
12 0 73 000 03;Amt;Brüssow (Uckermark);Amtsdirektorin;Frau;Annett Hartwig;Prenzlauer Straße 8;17326;Brüssow;039742 8600;039742 86015;info@amt-bruessow.de;http://www.amt-bruessow.de
12 0 71 000 01;Amt;Burg (Spreewald);Amtsdirektor;Herr;Tobias Hentschel;Hauptstraße 46;03096;Burg (Spreewald);035603 6820;035603 68222;info@amt-burg-spreewald.de;https://www.amt-burg-spreewald.de
12 0 66 052;Stadt;Calau;Bürgermeister;Herr;Werner Suchner;Platz des Friedens 10;03205;Calau;03541 8910;03541 891153;hauptamt@calau.de;https://www.calau.de
12 0 52 000;kreisfreie Stadt;Cottbus;Oberbürgermeister;Herr;Holger Kelch;Neumarkt 5;03046;Cottbus;0355 612-0;0355 23564;info@cottbus.de;http://www.cottbus.de
12 0 61 000;Landkreis;Dahme-Spreewald;Landrat;Herr;Stephan Loge;Reutergasse 12;15907;Lübben (Spreewald);03546 20-0;03546 20-1256;post@dahme-spreewald.de ;https://www.dahme-spreewald.de
12 0 72 000 04;Amt;Dahme/Mark;Amtsdirektor;Herr;David Kaluza;Hauptstraße 48/49;15936;Dahme/Mark;035451 9810;035451 98144;amt@dahme.de;https://www.dahme.de
12 0 63 056;Gemeinde;Dallgow-Döberitz;Bürgermeister;Herr;Jürgen Hemberger;Wilmsstraße 41;14624;Dallgow-Döberitz;03322 29840;03322 298411;gemeinde@dallgow.de;https://www.dallgow.de
12 0 62 092;Stadt;Doberlug-Kirchhain;Bürgermeister;Herr;Bodo Broszinski;Am Markt 8;03253;Doberlug-Kirchhain;035322 390;035322 2271;info@doberlug-kirchhain.de;http://www.doberlug-kirchhain.de
12 0 71 000 02;Amt;Döbern-Land;Amtsdirektorin;Frau;Anja Redlow;Forster Straße 8;03159;Döbern;035600 3687-0;035600 3687-15;post@amt-doebern-land.de;https://www.amt-doebern-land.de
12 0 71 057;Stadt;Drebkau;Bürgermeister;Herr;Paul Köhne;Spremberger Straße 61;03116;Drebkau;035602 56217;035602 56260;sekretariat@drebkau.de;http://www.drebkau.de
12 0 60 052;Stadt;Eberswalde;Bürgermeister;Herr;Friedhelm Boginski;Breite Straße 41-44;16225;Eberswalde;03334 640;03334 64519;stadtverwaltung@eberswalde.de;https://www.eberswalde.de
12 0 61 112;Gemeinde;Eichwalde;Bürgermeister;Herr;Jörg Jenoch;Grünauer Straße 49;15732;Eichwalde;030 675020;030 67502-101;gemeinde@eichwalde.de;https://www.eichwalde.de
12 0 67 120;Stadt;Eisenhüttenstadt;Bürgermeister;Herr;Frank Balzer;Zentraler Platz 1;15890;Eisenhüttenstadt;03364 566 0;01805 010 711 070;info@eisenhuettenstadt.de;https://www.eisenhuettenstadt.de
12 0 62 000;Landkreis;Elbe-Elster;Landrat;Herr;Christian Heinrich-Jaschinski;Ludwig-Jahn-Straße 2;04916;Herzberg (Elster);03535 46-0;03535 3133;landrat@lkee.de;http://www.lkee.de
12 0 62 000 02;Amt;Elsterland;Amtsdirektor;Herr;Andreas Dommaschk ;Kindergartenstraße 2a;03253;Schönborn;035326 98110;035326 98139;amt@elsterland.de;https://www.elsterland.de
12 0 62 124;Stadt;Elsterwerda;Bürgermeisterin;Frau;Anja Heinrich;Hauptstraße 12;04910;Elsterwerda;03533 65-0;03533 65-5126;stadtelsterwerda@t-online.de;https://www.elsterwerda.de
12 0 67 124;Stadt;Erkner;Bürgermeister;Herr;Henryk Pilz;Friedrichstraße 6-8;15537;Erkner;03362 7950;03362 795255;post@erkner.de;http://www.erkner.de
12 0 64 000 03;Amt;Falkenberg-Höhe;Amtsdirektor;Herr;Holger Horneffer;Karl-Marx-Straße 2;16259;Falkenberg;033458 64610;033458 64624;info@amt-fahoe.de;https://www.amt-fahoe.de
12 0 63 080;Stadt;Falkensee;Bürgermeister;Herr;Heiko Müller;Falkenhagener Straße 43/49;14612;Falkensee;03322 2810;03322 281101;rathaus@falkensee.de;https://www.falkensee.de
12 0 68 117;Gemeinde;Fehrbellin;Bürgermeister;Herr;Mathias Perschall;Johann-Sebastian-Bach-Straße 6;16833;Fehrbellin;033932 595-0;033932 70314;info@gemeinde-fehrbellin.de;http://www.gemeinde-fehrbellin.de
12 0 62 140;Stadt;Finsterwalde;Bürgermeister;Herr;Jörg Gampe;Schloßstraße 7-8;03238;Finsterwalde;03531 7830;03531 2766;info@finsterwalde.de;https://www.finsterwalde.de
12 0 71 076;Stadt;Forst (Lausitz);Bürgermeisterin;Frau;Simone Taubenek;Lindenstr. 10-12;03149;Forst (Lausitz);03562 9890;03562 7460;info@forst-lausitz.de;http://www.forst-lausitz.de
